"y","x1","x2","x3","x4","x5"
247.3154761,173.2373049,179.2925035,193.3007544,392.3264313,504.7849334
284.1832918,247.3154761,173.2373049,179.2925035,355.6522644,490.2264774
274.4307568,284.1832918,247.3154761,173.2373049,286.705586,479.2446856
205.4999844,274.4307568,284.1832918,247.3154761,361.4447145,489.0574275
250.555064,205.4999844,274.4307568,284.1832918,378.2739106,477.0319938
278.3175236,250.555064,205.4999844,274.4307568,300.9220559,487.8552994
284.8954797,278.3175236,250.555064,205.4999844,367.5470472,466.3992813
244.9313589,284.8954797,278.3175236,250.555064,385.53789,546.0530843
175.4323186,244.9313589,284.8954797,278.3175236,332.1503773,464.9256065
168.1066651,175.4323186,244.9313589,284.8954797,237.7135844,357.6486931
161.529279,168.1066651,175.4323186,244.9313589,193.3007544,298.553287
151.6422314,161.529279,168.1066651,175.4323186,179.2925035,283.7974301
130.9373608,151.6422314,161.529279,168.1066651,173.2373049,239.2316222
